instance,gini_clause_size,gini_var_occurrence,gini_lit_occurrence,avg_overlap_vars,avg_overlap_lits
1e4eb375a0e358cfbe004df71776830c-hidden-k3-s1-r6-n550-02-S1432745023.shuffled-as.sat03-1026,0.0,0.134676,0.204796,0.334604,0.334015
f3f2def9ef3c0053903a1f465ba3ba5c-unif-k4-r9.627-v3800-c36583-S3434055633959999686,0.0,0.0919109,0.127506,0.250302,0.250153
64cde914155e5a8314fbc0251482007e-Trivium_no_init_out350_known_last142_1,0.0982933,0.50553,0.50575,0.246964,0.232482
865e3ae7db7690278a677faa4d2dc5f1-unif-k3-r4.25-v480-c2040-S915600698-006,0.0,0.155845,0.214808,0.334775,0.333919
6fc2aff853939e3d15ae233430f7394f-unif-k3-r4.26-v550-c2343-S1940049314-069.SATISFIABLE,0.0,0.15399,0.22336,0.334582,0.333941
a28540e2280c4dc184e94da09c356fc6-okgen-c1400-v350-s140497831-140497831,0.0,0.173521,0.239641,0.335088,0.334325
853920da6c3617b13bc473c6a51f8879-Schur_161_5_d33,0.0273172,0.162232,0.571844,0.351019,0.351052
233c09f02ee1d09d989b9638ff61f9a0-unif-k3-r4.267-v2000-c8534-S180404224806985584,0.0,0.154081,0.218902,0.333668,0.333529
01d142c43f3ce9a8c5ef7a1ecdbb6cba-urquhart3_25bis.shuffled,0.0,0.0,0.0,0.466667,0.333333
68a85c900f8a97472d8ba196a380cc5b-42.shuffled,0.110728,0.247277,0.269608,0.537851,0.468434
eaafece778cf4c921b238834bae3ed6a-gencnf-k6-r44.3-v108-c4784-02-S601394963.shuffled-as.sat03-1764,0.0,0.0340803,0.050913,0.187534,0.176722
c06d79961a8607cf2fb10035c1857b17-bench_5541.smt2,0.106465,0.273487,0.284482,0.453761,0.402213
41971ca824238f148d26f1186a49e3c3-bench_17815.smt2,0.110271,0.277332,0.288005,0.459352,0.404636
fd391334967af0f105772d1a1c1ac576-okgen-c1505-v350-s287372199-287372199,0.0,0.154233,0.213557,0.335186,0.334511
eb9430c2746d5365f4669dedfb4bb10c-bench_9724.smt2,0.105932,0.287078,0.299309,0.408026,0.392931
75cf58c0185a5f3010e3ddbd4d1ba849-OKgenerator_s0=32s1=20n=220l=7cp=18700-Dnr0=0nr1=3-o.shuffled-as.sat05-1636,0.0,0.0208493,0.0302551,0.155125,0.148852
830f19281c5b1aec9f16e18b95d8f9f8-mm-2x2-5-5-s.1.shuffled-as.sat03-1497,0.152517,0.326481,0.333156,0.373393,0.333143
0f836c1fe035508c8b11f59858349e8e-hgen3-v450-s1400022686,0.0,0.0288381,0.0357143,0.333333,0.333333
5d82ebf5d90d1afbb88aeb0d6615e0df-3col300_5_6.shuffled,0.056706,0.000618364,0.125128,0.601135,0.383417
e025c23875a6e7239a074436b0ad89ce-urqh2x7.shuffled-as.sat03-1475,0.0468125,0.173394,0.173394,0.304754,0.261117
e3e4ca307eb89df0c6f1ed781ddf40ac-unif2p-p0.8-v2405-c7479-S1163137157-19-SAT,0.057124,0.188441,0.255219,0.37791,0.377903
09df54b3d75b42dbd0020c6b60a68fc6-shuffling-1-s1931574585-of-bench-sat04-328.used-as.sat04-449,0.178191,0.2228,0.235812,0.44671,0.375965
9850cc4bc84c17447cee6ef760364530-satch2ways18,0.250211,0.409824,0.462251,0.463226,0.424148
df7804752202ae20d1f8a9ebbd0ffc18-fla-450-3,0.0,0.156066,0.224058,0.334879,0.334073
857bf2bb9bafd40bdcbee6d05edf84f3-equilarge_l2.used-as.sat04-894,0.0231274,0.326129,0.327428,0.346155,0.336685
9a04a0c5a59f2c3b6c4ef132ee5d4b79-mod2-rand3bip-sat-230-2.shuffled-as.sat05-2189,0.0,0.0,0.0,0.407933,0.333527
