instance,status,variables,clauses,conflicts,decisions,propagations,memory_mb,cpu_time_s
1e4eb375a0e358cfbe004df71776830c-hidden-k3-s1-r6-n550-02-S1432745023.shuffled-as.sat03-1026,TIMEOUT,550,3300,3159644,3924580,202292855,15.81,59.9802
f3f2def9ef3c0053903a1f465ba3ba5c-unif-k4-r9.627-v3800-c36583-S3434055633959999686,TIMEOUT,3800,36583,564048,1536480,130726176,163.8,59.5154
64cde914155e5a8314fbc0251482007e-Trivium_no_init_out350_known_last142_1,TIMEOUT,2187,21358,1222613,1638847,118866388,56.34,59.9434
865e3ae7db7690278a677faa4d2dc5f1-unif-k3-r4.25-v480-c2040-S915600698-006,TIMEOUT,480,2040,3701243,4648059,246572558,13.71,59.9525
6fc2aff853939e3d15ae233430f7394f-unif-k3-r4.26-v550-c2343-S1940049314-069.SATISFIABLE,TIMEOUT,550,2343,3354904,4279053,249114621,14.96,59.9763
a28540e2280c4dc184e94da09c356fc6-okgen-c1400-v350-s140497831-140497831,SATISFIABLE,350,1400,40606,51642,2325857,10.91,0.396488
853920da6c3617b13bc473c6a51f8879-Schur_161_5_d33,TIMEOUT,762,28154,841382,1229496,46764602,55.28,59.9469
233c09f02ee1d09d989b9638ff61f9a0-unif-k3-r4.267-v2000-c8534-S180404224806985584,TIMEOUT,2000,8534,1355908,2078983,234979884,33.46,59.9411
01d142c43f3ce9a8c5ef7a1ecdbb6cba-urquhart3_25bis.shuffled,TIMEOUT,99,264,22814785,35730867,196593323,10.91,59.9868
68a85c900f8a97472d8ba196a380cc5b-42.shuffled,UNSATISFIABLE,378,904,0,0,9,10.91,0.003008
eaafece778cf4c921b238834bae3ed6a-gencnf-k6-r44.3-v108-c4784-02-S601394963.shuffled-as.sat03-1764,TIMEOUT,108,4784,3172510,3751666,50462666,18.51,59.9916
c06d79961a8607cf2fb10035c1857b17-bench_5541.smt2,UNSATISFIABLE,5942,20295,2645,8491,189015,13.46,0.039754
41971ca824238f148d26f1186a49e3c3-bench_17815.smt2,UNSATISFIABLE,4784,15796,2563,7012,134354,12.8,0.033471
fd391334967af0f105772d1a1c1ac576-okgen-c1505-v350-s287372199-287372199,TIMEOUT,350,1505,4755780,5811584,256521259,11.79,59.9916
eb9430c2746d5365f4669dedfb4bb10c-bench_9724.smt2,UNSATISFIABLE,18580,65281,925798,1317513,70900724,42.98,27.2024
